Participant,Intensity,Time [s],diagonal [%],dp [%],fall [%],glide [%],heringbone [%],dp-skate [%],dp-kick [%],skate [%],v1-skate [%]
P3,easy,245.5875,6.521776013301437,51.28518348857332,0.0,17.140869683242567,25.05217081488268,0.0,0.0,0.0,0.0
P3,medium,214.92916666666667,0.0,47.829711339007034,3.3421863792334685,19.4288816082818,29.399220673477693,0.0,0.0,0.0,0.0
P3,hard,220.30416666666667,0.0,45.67170389423714,5.7836703043141116,21.848580560966845,26.696045240481908,0.0,0.0,0.0,0.0
P5,easy,123.22916666666667,0.0,76.13186813186813,0.0,11.749788672865597,0.0,12.118343195266272,0.0,0.0,0.0
P5,medium,101.325,0.0,77.70375853277407,0.0,11.723825972530635,0.0,10.572415494695289,0.0,0.0,0.0
P5,hard,97.55833333333334,0.0,79.12787221320578,0.0,9.972665926368839,0.0,10.899461860425387,0.0,0.0,0.0
P6,easy,123.99583333333334,9.701266843643939,58.79565845626533,0.0,22.81998723075372,0.0,8.683087469337007,0.0,0.0,0.0
P6,medium,107.875,0.0,62.20548474314407,0.0,25.195056006179996,0.0,12.599459250675938,0.0,0.0,0.0
P6,hard,92.725,0.0,61.215961175519006,0.0,25.35274557382942,0.0,13.431293250651569,0.0,0.0,0.0
P7,easy,178.2625,20.157539209499102,44.61818946777926,0.0,19.834981184115186,0.0,5.635415936236356,8.571161442629082,1.1827127597410187,0.0
P7,medium,141.6875,20.83517129833848,54.70372004117041,0.0,13.174533156888693,0.0,8.501690927804734,2.784884575797677,0.0,0.0
P7,hard,122.28333333333333,16.55308709281723,59.90186724819409,0.0,9.45549952296579,0.0,14.089546136022898,0.0,0.0,0.0
P8,easy,139.7125,19.09277981569294,52.906265843547764,0.0,7.270883659896812,0.0,12.000835048164385,8.7292356326981,0.0,0.0
P8,medium,119.82083333333334,17.161039051361406,57.64857252147303,0.0,7.678130542128874,0.0,10.755642104531072,6.756615780505617,0.0,0.0
P8,hard,111.00833333333334,16.64289467757676,61.98858944523684,0.0,7.593273778244876,0.0,13.77524209894152,0.0,0.0,0.0
P12,easy,238.21666666666667,55.18960330231582,30.63737493878122,0.0,14.173021758902959,0.0,0.0,0.0,0.0,0.0
P12,medium,206.66666666666666,35.2016129032258,49.23185483870968,0.0,7.532258064516128,8.034274193548386,0.0,0.0,0.0,0.0
P12,hard,199.45416666666668,16.181662453780106,62.01508283022415,0.0,5.9913513965196685,15.81190331947607,0.0,0.0,0.0,0.0
P13,easy,129.62916666666666,0.0,75.72562759152711,0.0,14.49648034457266,0.0,8.813602905724663,0.0,0.9642891581755649,0.0
P13,medium,113.75,0.0,54.62637362637363,0.0,13.388278388278389,0.0,13.157509157509157,0.0,0.0,18.82783882783883
P13,hard,101.64166666666667,0.0,54.72247273919816,0.0,13.11797983110601,0.0,19.69746659014512,0.0,0.0,12.462080839550708
P14,easy,148.0,0.0,84.14977477477478,0.0,8.164414414414415,0.0,3.800675675675676,0.0,3.885135135135135,0.0
P14,medium,122.91666666666667,0.0,62.70169491525424,0.0,7.247457627118645,0.0,12.654237288135592,0.0,4.406779661016949,12.989830508474576
P14,hard,115.20833333333333,0.0,61.69258589511754,0.0,10.564195298372514,0.0,14.112115732368895,0.0,3.1428571428571432,10.488245931283906
